No.,Compound.name,CAS.RN,log_Koa,smiles,Fsp3,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomP,nAtomLC,nB,nBase,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings5,nRings6,nRings7,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,TopoPSA,topoShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.22,MDEN.23,MDEN.33,khs.sCH3,khs.dCH2,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.ssNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.sOH,khs.dO,khs.ssO,khs.sF,khs.ssssSi,khs.dsssP,khs.dssS,khs.ddssS,khs.sCl,khs.sBr,khs.ssssSn,khs.sI,Kier1,Kier2,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nHBDon,nHBAcc,bpol,apol,ExactMolWeight,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumRadicalElectrons,NumValenceElectrons,BalabanJ,BertzCT,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,MolLogP,MolMR,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumAmideBonds,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA_1,PEOE_VSA_2,PEOE_VSA_3,PEOE_VSA_4,PEOE_VSA_5,PEOE_VSA_6,PEOE_VSA_7,PEOE_VSA_8,PEOE_VSA_9,PEOE_VSA_10,PEOE_VSA_11,PEOE_VSA_12,PEOE_VSA_13,PEOE_VSA_14,SMR_VSA_1,SMR_VSA_2,SMR_VSA_3,SMR_VSA_4,SMR_VSA_5,SMR_VSA_6,SMR_VSA_7,SMR_VSA_8,SMR_VSA_9,SMR_VSA_10,SlogP_VSA_1,SlogP_VSA_2,SlogP_VSA_3,SlogP_VSA_4,SlogP_VSA_5,SlogP_VSA_6,SlogP_VSA_7,SlogP_VSA_8,SlogP_VSA_9,SlogP_VSA_10,MQNs_1,MQNs_2,MQNs_3,MQNs_4,MQNs_5,MQNs_6,MQNs_7,MQNs_8,MQNs_9,MQNs_10,MQNs_11,MQNs_12,MQNs_13,MQNs_14,MQNs_15,MQNs_16,MQNs_17,MQNs_18,MQNs_19,MQNs_20,MQNs_21,MQNs_22,MQNs_23,MQNs_24,MQNs_25,MQNs_26,MQNs_27,MQNs_28,MQNs_29,MQNs_30,MQNs_31,MQNs_32,MQNs_33,MQNs_34,MQNs_35,MQNs_36,MQNs_37,MQNs_38,MQNs_39,MQNs_40,MQNs_41,MQNs_42,CHds,XHds,HBAs,HydA0,HydA,HydP0,HydP,Hyd0,Hyd,delta_g_sol_oct,HBA1,HBA2,HBD,logP,MR,MW,nF,TPSA
44,1-octene,111-66-0,3.35,C=CCCCCCC,0.75,4.526,112.2129392,0,5,2.34,2,8,7,0,24,0,0,3.6305,13.18053025,38.6543,0,0,0,0,0,0,0,0,0,0,26,84,5,14.83110795,1.853888494,0,0,0,3.807354922,0,0.75,0.428571429,0.142857143,4.008290259,0,0,7.473424937,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0.75,473,0,74,6.242640687,3.914213562,2.414213562,1.457106781,0.853553391,0.478553391,0.25,0.125,5.819990956,3.523603362,2.138010441,1.261801681,0.71545183,0.380900841,0.174230856,0.072168784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,337.0997328,308.7981569,265.8657861,215.6689124,163.657972,8,7,6,5,4,0,0,17.491312,24.748688,112.1252005,1.25,2,2.5,96.088,0.103082979,-0.035341294,0.035341294,-0.103082979,112.216,0,48,2.61629309,46,6.242640687,3.914213562,5.819990956,3.523603362,2.138010441,1.261801681,0.71545183,5.819990956,3.523603362,2.138010441,1.261801681,0.71545183,-0.26,7.74,6.74,5.74,3.1428,38.956,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,52.6042428,0,0,0,0,6.578935684,32.26222218,12.84164325,0,0,0,0,0,0,0,0,0,0,0,39.02784531,0,12.65495579,0,0,0,0,0,0,0,39.02784531,12.65495579,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,6,1,0,0,0,0,5,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5337,0,0,9.0482,2.162571702,-1.6356,-0.390917782,7.4127,1.77167782,-2.50253018,0,0,0,3.1428,40.096,112.21264,0,0
46,1-nonene,124-11-8,3.83,C=CCCCCCCC,0.777777778,5.095,126.2395566,1,6,2.45,2,9,8,0,27,0,0,4.0867,16.70111689,43.2553,0,0,0,0,0,0,0,0,0,0,30,120,6,16.82976754,1.869974171,0,0,0,4,0,1,0.5,0.125,4.141993258,0,0,9.333258269,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0.777777778,604,0,96,6.949747468,4.414213562,2.767766953,1.707106781,1.030330086,0.603553391,0.338388348,0.176776695,6.527097737,4.023603362,2.491563832,1.511801681,0.892228525,0.505900841,0.269337567,0.12319982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,0,0,394.9622974,366.5097833,323.1830608,272.2140671,218.7820332,9,8,7,6,5,0,0,19.677726,27.842274,126.1408506,1.111111111,1.777777778,2.333333333,108.099,0.103082979,-0.035341293,0.035341293,-0.103082979,126.243,0,54,2.663883887,55.05865003,6.949747468,4.414213562,6.527097737,4.023603362,2.491563832,1.511801681,0.892228525,6.527097737,4.023603362,2.491563832,1.511801681,0.892228525,-0.26,8.74,7.74,7.74,3.5329,43.573,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.777777778,0,0,0,58.96918491,0,0,0,0,6.578935684,38.6830438,12.84164325,0,0,0,0,0,0,0,0,0,0,0,45.44866694,0,12.65495579,0,0,0,0,0,0,0,45.44866694,12.65495579,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,7,1,0,0,0,0,6,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8058,0,0,10.1595,2.428178776,-1.827,-0.43666348,8.3325,1.991515296,-2.813228704,0,0,0,3.5329,44.903,126.23922,0,0
61,"2-methyl-1,3-butadiene",78-79-5,2.06,C=CC(=C)C,0.2,2.348,68.11720551,0,1,2.01,4,4,4,0,13,0,0,1.8614,3.46480996,24.5764,0,0,0,0,0,0,0,0,0,0,16,18,2,8.696801932,1.739360386,0,0,0,3,0,0.5,0.333333333,1.144714243,1.889881575,2.381101578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.25,0.2,124,0,19,4.28445705,2.27005561,1.802095141,0.816496581,0,0,0,0,3.491563832,1.550476816,1.050476816,0.348461713,0,0,0,0,0.40824829,0,0,0.144337567,0,0,0.40824829,0,0,0,0.204124145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,186.8563374,163.7632649,144.0899753,59.18500228,0,5,4,4,2,0,0,0,8.745656,14.134344,68.06260026,1.8,2,2,60.055,0.098823107,-0.040383549,0.040383549,-0.098823107,68.119,0,28,3.204805418,51.05865003,4.28445705,2.27005561,3.491563832,1.550476816,1.050476816,0.348461713,0,3.491563832,1.550476816,1.050476816,0.348461713,0,-0.52,4.48,1.767356322,3.48,1.7485,25.011,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,32.81981342,0,0,0,0,0,24.806996,6.9237372,0,0,0,0,0,0,0,0,0,0,0,6.9237372,0,24.806996,0,0,0,0,0,0,0,6.9237372,24.806996,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1845,0,0,3.1348,0.749235182,-1.4036,-0.335468451,1.7312,0.41376673,-1.96419327,0,0,0,1.7485,25.201,68.11702,0,0
104,hexamethylbenzene,87-85-4,6.31,Cc1c(C)c(C)c(C)c(C)c1C,0.5,4.644,162.2717643,0,0,2.78,6,6,12,0,30,6,6,4.7472,22.53590784,56.3052,0,1,1,1,1,0,0,1,0,0,60,174,21,22.89748676,1.908123897,0,0,0,4.584962501,0,0.25,0.2,4.02369228,0,15.72444837,0,0,0,0,9.125465128,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08333333,3.395061728,0.5,768,0.5,102,9.464101615,5.464101615,5.154700538,4.976067743,2.872934051,1.658689248,0.829344624,0.222222222,9,4.5,3.75,3.375,1.6875,0.84375,0.375,0.09375,3.64273441,4.976067743,7.019657171,2.25,2.8125,3.5625,1.154700538,0,0.666666667,0,0.75,0,0.375,0,0,0,0,0.037037037,0.222222222,0,0,0,0.015625,0.09375,0,0,0,6,6,0,0,0,823.1803679,935.3933292,1324.223252,1327.55851,665.4468839,12,12,18,21,12,0,0,19.677726,33.122274,162.1408506,0.333333333,0.416666667,0.5,144.132,0.044726775,-0.039227976,0.039227976,-0.044726775,162.276,0,66,3.603567451,214.3030902,9.464101615,5.464101615,9,4.5,3.75,3.375,1.6875,9,4.5,3.75,3.375,1.6875,-0.78,9.30912656,2.929857133,1.155447255,3.53712,54.864,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.5,0,0,0,75.62105581,0,0,0,0,0,0,74.92313215,0,0,0,0,0,0,0,0,0,0,0,41.5424232,0,33.38070895,0,0,0,0,0,0,41.5424232,33.38070895,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,6,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3.8581,0,0,3.0595,0.73123805,-2.0225,-0.483389101,1.037,0.247848948,-4.562634252,0,0,0,3.537,56.238,162.27132,0,0
126,stilbene,588-59-0,7.48,C(=C/c1ccccc1)\c1ccccc1,0,4.656,180.2455916,0,2,3,14,10,15,0,26,12,12,3.8162,14.56338244,61.5128,0,2,2,2,2,0,0,2,0,0,66,343,15,28.59004649,2.042146178,0,0,0,4.906890596,0,0.8,0.444444444,0,0,0,0,19.67152367,9.627407799,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51555556,5.777777778,0,547,1,212,9.639981913,6.949489743,5.585421959,4.43265299,3.423034123,2.707908119,1.28445705,0.870790812,7.92820323,4.732050808,3.154700538,2.067378496,1.32075015,0.863722521,0.340598238,0.190914835,0.866025404,1.187287393,1.337429925,0.333333333,0.376305705,0.350522282,0.40824829,0,0,0,0.19245009,0,0,0,0,0,0,0.204124145,0.144337567,0,0,0,0.06415003,0.037037037,0,0,12,2,0,0,0,0,829.8764058,906.9450655,1091.082017,920.7312718,632.813563,14,15,18,15,10,0,0,13.118484,32.641516,180.0939004,0.5,0.857142857,1.214285714,168.154,0.062226099,-0.02564618,0.02564618,-0.062226099,180.25,0,68,2.159341418,357.0681483,9.639981913,6.949489743,7.92820323,4.732050808,3.154700538,2.067378496,1.32075015,7.92820323,4.732050808,3.154700538,2.067378496,1.32075015,-1.82,8.763953707,4.425683221,2.332039675,3.857,61.812,14,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,84.52877852,0,0,0,0,0,72.8157109,11.12690298,0,0,0,0,0,0,0,0,0,0,0,0,0,71.79057367,0,0,12.15204021,0,0,0,0,11.12690298,60.66367068,0,12.15204021,0,0,14,0,0,0,0,0,0,0,0,0,0,14,2,1,0,6,6,0,2,0,0,0,0,0,0,0,2,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,4.7694,0,0,-9.0828,-2.1708413,-4.3306,-1.035038241,-13.4134,-3.205879541,-8.451399541,0,0,0,3.857,61.812,180.24508,0,0
127,biphenyl,92-52-4,5.88,c1ccc(-c2ccccc2)cc1,0,3.962,154.2082383,0,1,2.78,12,8,13,0,22,12,12,3.3484,11.21178256,51.1942,0,2,2,2,2,0,0,2,0,0,58,198,14,24.59443372,2.049536144,0,0,0,4.700439718,0,0.75,0.428571429,0,0,0,0,15.69030319,9.490205613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.591715976,4.296875,0,397,1,140,8.22576835,5.966326495,4.796180193,3.966326495,3.211142626,2.558078205,1.178511302,0.833333333,6.773502692,4.071367205,2.732050808,1.88091147,1.261205885,0.829344624,0.32075015,0.185185185,0.942809042,1.5,1.885618083,0.384900179,0.5,0.513200239,0.333333333,0,0.083333333,0,0.166666667,0,0.027777778,0,0,0,0,0.204124145,0.11785113,0,0,0,0.06415003,0.032075015,0,0,10,2,0,0,0,0,707.3482651,789.1627931,987.4134156,853.9104036,564.8176259,12,13,16,14,10,0,0,10.93207,27.78793,154.0782503,0.416666667,0.75,1.083333333,144.132,0.062225395,-0.018404256,0.018404256,-0.062225395,154.212,0,58,2.45714948,297.4313205,8.22576835,5.966326495,6.773502692,4.071367205,2.732050808,1.88091147,1.261205885,6.773502692,4.071367205,2.732050808,1.88091147,1.261205885,-1.56,7.108736858,3.224946402,1.37393594,3.3536,51.878,12,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,72.48849733,0,0,0,0,0,60.66367068,11.12690298,0,0,0,0,0,0,0,0,0,0,0,0,0,60.66367068,0,11.12690298,0,0,0,0,0,0,60.66367068,0,11.12690298,0,0,12,0,0,0,0,0,0,0,0,0,0,12,1,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0,3.9945,0,0,-8.6999,-2.079326004,-3.627,-0.866873805,-12.3269,-2.946199809,-7.507095809,0,0,0,3.3536,51.878,154.2078,0,0
138,"1,2-dimethylnaphthalene",573-98-8,6.31,Cc1ccc2ccccc2c1C,0.166666667,4.162,156.2241198,0,0,2.78,10,7,13,0,24,11,10,3.7108,13.77003664,52.5906,0,2,2,1,1,0,0,2,0,0,62,178,18,24.35276814,2.029397345,0,0,0,4.700439718,0,1,0.5,0.333333333,3.122769989,3.941539889,0,6.631975708,10.56290511,0,3.965406457,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.591715976,3.395061728,0.166666667,493,0.833333333,117,8.552041764,5.7876937,5.122142226,4.533585248,3.448796287,2.764112538,1.596970933,0.95093683,7.464101615,4.238033872,3.228596484,2.469194893,1.536048595,1.029659203,0.508006821,0.253798648,2.067282172,3.007723589,4.23125009,1.050934661,1.250596388,1.49252117,0.73090178,0,0.282691565,0,0.424839684,0,0.132309437,0,0,0,0,0.138888889,0.296716619,0,0,0,0.048611111,0.095649324,0,0,6,4,2,0,0,0,787.3701278,907.3003443,1243.962,1153.306076,638.5527287,12,13,18,18,11,0,0,13.118484,29.121516,156.0939004,0.833333333,1.583333333,2.416666667,144.132,0.061629377,-0.015209248,0.015209248,-0.061629377,156.228,0,60,2.907774507,413.3078662,8.552041764,5.7876937,7.464101615,4.238033872,3.228596484,2.469194893,1.536048595,7.464101615,4.238033872,3.228596484,2.469194893,1.536048595,-1.3,7.354540142,2.632554054,1.001034369,3.45664,53.422,12,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0.166666667,0,0,0,72.84295188,0,0,0,0,0,36.39820241,35.74682581,0,0,0,0,0,0,0,0,0,0,0,13.8474744,0,47.52510539,0,0,10.77244843,0,0,0,13.8474744,11.12690298,36.39820241,0,10.77244843,0,0,12,0,0,0,0,0,0,0,0,0,0,12,2,0,0,6,5,0,0,0,0,0,0,0,0,2,0,0,0,6,4,0,0,0,0,2,0,0,0,0,2,1,3.7579,0,0,-6.3248,-1.51166348,-2.815,-0.672801147,-9.1398,-2.184464627,-6.885495027,0,0,0,3.4566,53.88,156.22368,0,0
175,perylene,198-55-0,11.7,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,0,6.412,252.310007,1,0,3.66,20,8,24,0,32,24,20,4.8536,23.55743296,83.1728,0,5,5,1,1,0,0,5,0,0,120,654,41,43.29880972,2.164940486,0,0,0,5.584962501,0,0.4,0.285714286,0,0,0,0,17.84765022,32.36585376,0,14.20363506,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53472222,4.75,0,916,1,286,13.10408353,9.93265299,9.05389293,8.615589457,8.322648055,7.727730435,5.812319929,4.789370702,10.92820323,6.976067743,5.418517833,4.389742878,3.579771618,2.799845222,1.775032343,1.227298344,3.454053581,6.988208546,11.77610704,1.539137926,2.612285989,3.704177999,1.09988661,0,0.403665907,0,0.580341801,0,0.155502117,0,0,0,0,0.309202564,0.654243017,0,0,0,0.111850045,0.203489992,0,0,12,8,0,0,0,0,1787.743934,2249.074747,3472.314901,3833.885354,3254.562207,20,24,36,41,38,0,0,13.118484,43.201516,252.0939004,0.35,0.65,0.95,240.22,0.061010657,-0.002637426,0.002637426,-0.061010657,252.316,0,92,2.317610822,917.0049697,13.10408353,9.93265299,10.92820323,6.976067743,5.418517833,4.389742878,3.579771618,10.92820323,6.976067743,5.418517833,4.389742878,3.579771618,-2.6,10.2190235,3.486521568,1.119858604,5.7372,87.652,20,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,116.1370861,0,0,0,0,0,72.79640482,43.08979372,0,0,0,0,0,0,0,0,0,0,0,0,0,72.79640482,0,0,43.08979372,0,0,0,0,0,72.79640482,0,43.08979372,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,5,0,0,0,0,8,6,5.0003,0,0,-24.1424,-5.770172084,-4.5403,-1.085157744,-28.6827,-6.855329828,-14.65792183,0,0,0,5.7372,87.652,252.30928,0,0
214,hexachloroethane,67-72-1,4.47,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,3.882,236.7390973,0,1,1.02,0,4,7,0,8,0,0,3.3764,11.40007696,41.878,0,0,0,0,0,0,0,0,0,0,38,58,9,14.0625,1.7578125,13.875,0,0,3.807354922,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,1.75,1,7.06,0,34,7,3.25,4.5,2.25,0,0,0,0,7.803360514,3.651680257,5.557982986,2.892857143,0,0,0,0,4.5,1.5,0,6.560383353,2.479591837,0,2.5,0.5,2.25,1.5,3.386434396,0.728931484,3.719387755,2.811592866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,708.9110679,771.7830505,998.9933816,581.6658651,0,54.27769945,18.71062384,69.98832328,78.41654917,0,0,0,2.52,16.6,233.8131161,0.5,0.625,0.625,236.74,0.236391438,0.236391438,0.078797146,-0.078797146,236.74,0,50,4.020391543,61.509775,7,3.25,3.267786838,1.383893419,0.995518138,0.321428571,0,7.803360514,3.651680257,5.557982986,2.892857143,0,1.74,9.74,2.773447112,3.04826129,3.7268,40.58,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76.9237905,0,0,0,0,0,69.60563934,0,0,0,0,0,7.585071871,0,0,0,0,0,0,7.585071871,0,0,0,0,69.60563934,0,7.585071871,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649,14.7974,3.53666348,-1.521,-0.363527725,13.2722,3.172131931,-1.896316069,0,0,0,3.7268,40.58,236.7394,0,0
216,bromoethane,74-96-4,2.11,CCBr,1,1.736,108.9647035,0,0,1.57,0,3,2,0,8,0,0,1.3399,1.79533201,19.0438,0,0,0,0,0,0,0,0,0,0,6,4,0,4.914213562,1.638071187,2.207106781,0,0,2,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,43.01,0,6,2.707106781,1.414213562,0.707106781,0,0,0,0,0,3.671067793,2.095836931,1.38873015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,111.5271978,78.19876313,31.3256545,0,0,46.25809079,7.652675461,6.652675461,0,0,0,0,6.756035,9.903965,107.9574623,2,2,2,103.926,0.09310768,0.000280511,0.000280511,-0.09310768,108.966,0,20,1.632993162,2.754887502,2.707106781,1.414213562,2.085071254,0.974368023,0.267261242,0,0,3.671067793,2.095836931,1.38873015,0,0,0.48,3.48,2.48,2.48,1.4012,19.468,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.97174075,0,0,0,0,0,22.8536811,0,5.330089647,0,0,0,0,0,0,0,0,0,0,6.9237372,5.330089647,0,0,0,15.9299439,0,5.330089647,0,0,6.9237372,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8362,0,0.5412,6.778,1.61998088,-13.7368,-3.283173996,-6.9588,-1.663193117,-3.568825117,0,0,0,1.4012,19.598,108.9651,0,0
