smiles,log_KOA
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,9.953154363
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,10.98
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,12.59
ClC(Cl)(Cl)Cl,2.765730648
c1ccc2cc3c(ccc4ccccc43)cc2c1,9.485
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,7.848731544
CCOCC,2.176813556
CCO,3.250460037
CC(=O)O,4.31
CCCCCC=O,4.41
CO,2.855
CC(C)O,3.395
CC(C)=O,2.314241647
ClC(Cl)Cl,2.774861719
CS(C)=O,4.96
CN(C)C=O,4.38
CCCO,3.736666667
CCCCO,4.06267755
CCCCCO,4.69
c1ccccc1,2.742931959
CC(Cl)(Cl)Cl,2.668237307
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,9.885599553
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,9.491928412
C,-0.565823801
CC,0.422440819
C=C,0.281033367
CCl,1.113943352
CI,1.462397998
CN,1.9
BrCBr,3.136042833
CCC,0.97
CC#N,2.29
ClCCl,2.123631335
CC(Cl)Cl,2.333122792
C[N+](=O)[O-],2.561767132
CC(C)(C)O,3.414858179
FC(F)(F)F,-0.952398755
CC(C)C#N,2.87
CC(C)CO,3.93
CC(Cl)CCl,2.943258824
CCC(C)O,3.794559522
CCC(C)=O,2.794074545
ClCC(Cl)Cl,3.47652339
ClC=C(Cl)Cl,3.206955806
COC(C)=O,2.31
CC[N+](=O)[O-],2.88
c1cc2c3c(cccc3c1)CC2,6.475
c1ccc2c(c1)ccc1ccccc12,7.6875
CCc1c(Br)c(Br)c(Br)c(Br)c1Br,9.345
c1ccc2c(c1)Cc1ccccc1-2,6.843333333
c1ccc2c(c1)[nH]c1ccccc12,8.03
Clc1cccc(Cl)c1Cl,5.19
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,9.53
Cc1c(Br)c(Br)c(Br)c(Br)c1Br,9.61
c1ccc2ccccc2c1,5.37
Brc1ccc(-c2ccc(Br)cc2)cc1,8.5
Cc1ccccc1C,3.919364379
Clc1ccccc1Cl,4.426160494
Clc1cc(Cl)c(Cl)cc1Cl,5.63
CCC(=O)CC,3.175856346
CC(C)c1ccccc1,3.963787827
CCc1ccccc1,3.719485002
N#Cc1ccccc1,4.46
COc1ccccc1,4.01
CCCc1ccccc1,4.041392685
CCOC(=O)CC,3.15
CCCC(=O)OCC,3.56
Cc1ccc(C)cc1,3.69
CCCC,1.53
ClCCCl,2.814651542
CCC#N,2.761254457
COC=O,1.75
CCCC(C)=O,3.19
CCC[N+](=O)[O-],3.25
CC(C)OC(C)C,2.66
CC(=O)OC(C)C,2.93
Cc1cccc(C)c1,3.81
CC1CCCCC1,3.05
Cc1ccccc1,3.309837072
OC1CCCCC1,5.18
CCCOC(C)=O,3.17
CCCCC,1.982267892
